[2021-08-02 20:29:25.593150] PING 172.16.0.2 (172.16.0.2) 56(84) bytes of data.
[2021-08-02 20:29:36.601849] 64 bytes from 172.16.0.2: icmp_seq=631 ttl=64 time=14.2 ms
[2021-08-02 20:29:36.815573] 64 bytes from 172.16.0.2: icmp_seq=632 ttl=64 time=27.4 ms
[2021-08-02 20:29:37.005375] 64 bytes from 172.16.0.2: icmp_seq=633 ttl=64 time=16.5 ms
[2021-08-02 20:29:37.207658] 64 bytes from 172.16.0.2: icmp_seq=634 ttl=64 time=19.0 ms
[2021-08-02 20:29:37.404243] 64 bytes from 172.16.0.2: icmp_seq=635 ttl=64 time=15.3 ms
[2021-08-02 20:29:37.620421] 64 bytes from 172.16.0.2: icmp_seq=636 ttl=64 time=30.9 ms
[2021-08-02 20:29:37.816872] 64 bytes from 172.16.0.2: icmp_seq=637 ttl=64 time=26.0 ms
[2021-08-02 20:29:38.017539] 64 bytes from 172.16.0.2: icmp_seq=638 ttl=64 time=26.5 ms
[2021-08-02 20:29:38.213819] 64 bytes from 172.16.0.2: icmp_seq=639 ttl=64 time=23.0 ms
[2021-08-02 20:29:38.409253] 64 bytes from 172.16.0.2: icmp_seq=640 ttl=64 time=18.1 ms
[2021-08-02 20:29:38.618110] 64 bytes from 172.16.0.2: icmp_seq=641 ttl=64 time=26.7 ms
[2021-08-02 20:29:38.807935] 64 bytes from 172.16.0.2: icmp_seq=642 ttl=64 time=15.5 ms
[2021-08-02 20:29:39.010636] 64 bytes from 172.16.0.2: icmp_seq=643 ttl=64 time=17.5 ms
[2021-08-02 20:29:39.209020] 64 bytes from 172.16.0.2: icmp_seq=644 ttl=64 time=16.2 ms
[2021-08-02 20:29:39.407442] 64 bytes from 172.16.0.2: icmp_seq=645 ttl=64 time=14.1 ms
[2021-08-02 20:29:39.621544] 64 bytes from 172.16.0.2: icmp_seq=646 ttl=64 time=27.9 ms
[2021-08-02 20:29:39.811683] 64 bytes from 172.16.0.2: icmp_seq=647 ttl=64 time=17.9 ms
[2021-08-02 20:29:40.010696] 64 bytes from 172.16.0.2: icmp_seq=648 ttl=64 time=15.7 ms
[2021-08-02 20:29:40.212198] 64 bytes from 172.16.0.2: icmp_seq=649 ttl=64 time=17.3 ms
[2021-08-02 20:29:40.417422] 64 bytes from 172.16.0.2: icmp_seq=650 ttl=64 time=22.1 ms
[2021-08-02 20:29:40.620423] 64 bytes from 172.16.0.2: icmp_seq=651 ttl=64 time=24.8 ms
[2021-08-02 20:29:40.815904] 64 bytes from 172.16.0.2: icmp_seq=652 ttl=64 time=19.3 ms
[2021-08-02 20:29:41.012513] 64 bytes from 172.16.0.2: icmp_seq=653 ttl=64 time=15.3 ms
[2021-08-02 20:29:41.209871] 64 bytes from 172.16.0.2: icmp_seq=654 ttl=64 time=13.1 ms
[2021-08-02 20:29:41.417597] 64 bytes from 172.16.0.2: icmp_seq=655 ttl=64 time=20.4 ms
[2021-08-02 20:29:41.611213] 64 bytes from 172.16.0.2: icmp_seq=656 ttl=64 time=13.4 ms
[2021-08-02 20:29:41.812858] 64 bytes from 172.16.0.2: icmp_seq=657 ttl=64 time=14.3 ms
[2021-08-02 20:29:42.016671] 64 bytes from 172.16.0.2: icmp_seq=658 ttl=64 time=17.4 ms
[2021-08-02 20:29:42.214379] 64 bytes from 172.16.0.2: icmp_seq=659 ttl=64 time=15.4 ms
[2021-08-02 20:29:42.413126] 64 bytes from 172.16.0.2: icmp_seq=660 ttl=64 time=13.5 ms
[2021-08-02 20:29:42.627096] 64 bytes from 172.16.0.2: icmp_seq=661 ttl=64 time=26.7 ms
[2021-08-02 20:29:42.825351] 64 bytes from 172.16.0.2: icmp_seq=662 ttl=64 time=23.9 ms
[2021-08-02 20:29:43.025857] 64 bytes from 172.16.0.2: icmp_seq=663 ttl=64 time=23.1 ms
[2021-08-02 20:29:43.227167] 64 bytes from 172.16.0.2: icmp_seq=664 ttl=64 time=24.0 ms
[2021-08-02 20:29:43.426474] 64 bytes from 172.16.0.2: icmp_seq=665 ttl=64 time=23.0 ms
[2021-08-02 20:29:43.626558] 64 bytes from 172.16.0.2: icmp_seq=666 ttl=64 time=22.8 ms
[2021-08-02 20:29:43.830628] 64 bytes from 172.16.0.2: icmp_seq=667 ttl=64 time=25.8 ms
[2021-08-02 20:29:44.019534] 64 bytes from 172.16.0.2: icmp_seq=668 ttl=64 time=13.6 ms
[2021-08-02 20:29:44.236021] 64 bytes from 172.16.0.2: icmp_seq=669 ttl=64 time=29.2 ms
[2021-08-02 20:29:44.435420] 64 bytes from 172.16.0.2: icmp_seq=670 ttl=64 time=28.1 ms
[2021-08-02 20:29:44.632352] 64 bytes from 172.16.0.2: icmp_seq=671 ttl=64 time=24.7 ms
[2021-08-02 20:29:44.823600] 64 bytes from 172.16.0.2: icmp_seq=672 ttl=64 time=15.0 ms
[2021-08-02 20:29:45.022581] 64 bytes from 172.16.0.2: icmp_seq=673 ttl=64 time=13.7 ms
[2021-08-02 20:29:45.234313] 64 bytes from 172.16.0.2: icmp_seq=674 ttl=64 time=24.4 ms
[2021-08-02 20:29:45.442165] 64 bytes from 172.16.0.2: icmp_seq=675 ttl=64 time=31.6 ms
[2021-08-02 20:29:45.642765] 64 bytes from 172.16.0.2: icmp_seq=676 ttl=64 time=31.3 ms
[2021-08-02 20:29:45.834004] 64 bytes from 172.16.0.2: icmp_seq=677 ttl=64 time=22.0 ms
[2021-08-02 20:29:46.036093] 64 bytes from 172.16.0.2: icmp_seq=678 ttl=64 time=23.7 ms
[2021-08-02 20:29:46.236449] 64 bytes from 172.16.0.2: icmp_seq=679 ttl=64 time=23.0 ms
[2021-08-02 20:29:46.438208] 64 bytes from 172.16.0.2: icmp_seq=680 ttl=64 time=24.6 ms
[2021-08-02 20:29:46.642670] 64 bytes from 172.16.0.2: icmp_seq=681 ttl=64 time=28.2 ms
[2021-08-02 20:29:46.837600] 64 bytes from 172.16.0.2: icmp_seq=682 ttl=64 time=22.7 ms
[2021-08-02 20:29:47.043018] 64 bytes from 172.16.0.2: icmp_seq=683 ttl=64 time=27.2 ms
[2021-08-02 20:29:47.239652] 64 bytes from 172.16.0.2: icmp_seq=684 ttl=64 time=23.3 ms
[2021-08-02 20:29:47.439523] 64 bytes from 172.16.0.2: icmp_seq=685 ttl=64 time=22.6 ms
[2021-08-02 20:29:47.638655] 64 bytes from 172.16.0.2: icmp_seq=686 ttl=64 time=20.8 ms
[2021-08-02 20:29:47.836549] 64 bytes from 172.16.0.2: icmp_seq=687 ttl=64 time=17.7 ms
[2021-08-02 20:29:48.035184] 64 bytes from 172.16.0.2: icmp_seq=688 ttl=64 time=15.4 ms
[2021-08-02 20:29:48.238400] 64 bytes from 172.16.0.2: icmp_seq=689 ttl=64 time=17.9 ms
[2021-08-02 20:29:48.447566] 64 bytes from 172.16.0.2: icmp_seq=690 ttl=64 time=26.9 ms
[2021-08-02 20:29:48.651179] 64 bytes from 172.16.0.2: icmp_seq=691 ttl=64 time=30.3 ms
[2021-08-02 20:29:48.844207] 64 bytes from 172.16.0.2: icmp_seq=692 ttl=64 time=22.8 ms
[2021-08-02 20:29:49.042680] 64 bytes from 172.16.0.2: icmp_seq=693 ttl=64 time=20.2 ms
[2021-08-02 20:29:49.242956] 64 bytes from 172.16.0.2: icmp_seq=694 ttl=64 time=20.1 ms
[2021-08-02 20:29:49.442107] 64 bytes from 172.16.0.2: icmp_seq=695 ttl=64 time=18.9 ms
[2021-08-02 20:29:49.658570] 64 bytes from 172.16.0.2: icmp_seq=696 ttl=64 time=34.2 ms
[2021-08-02 20:29:49.849032] 64 bytes from 172.16.0.2: icmp_seq=697 ttl=64 time=24.2 ms
[2021-08-02 20:29:50.048283] 64 bytes from 172.16.0.2: icmp_seq=698 ttl=64 time=23.0 ms
[2021-08-02 20:29:50.248260] 64 bytes from 172.16.0.2: icmp_seq=699 ttl=64 time=22.8 ms
[2021-08-02 20:29:50.449061] 64 bytes from 172.16.0.2: icmp_seq=700 ttl=64 time=22.6 ms
[2021-08-02 20:29:50.649780] 64 bytes from 172.16.0.2: icmp_seq=701 ttl=64 time=22.1 ms
[2021-08-02 20:29:50.845202] 64 bytes from 172.16.0.2: icmp_seq=702 ttl=64 time=17.1 ms
[2021-08-02 20:29:51.046636] 64 bytes from 172.16.0.2: icmp_seq=703 ttl=64 time=18.1 ms
