[2021-08-02 20:29:32.325100] PING 172.16.0.1 (172.16.0.1) 56(84) bytes of data.
[2021-08-02 20:29:43.320958] 64 bytes from 172.16.0.1: icmp_seq=56 ttl=64 time=13.9 ms
[2021-08-02 20:29:43.521627] 64 bytes from 172.16.0.1: icmp_seq=57 ttl=64 time=13.4 ms
[2021-08-02 20:29:43.722246] 64 bytes from 172.16.0.1: icmp_seq=58 ttl=64 time=13.3 ms
[2021-08-02 20:29:43.932566] 64 bytes from 172.16.0.1: icmp_seq=59 ttl=64 time=23.0 ms
[2021-08-02 20:29:44.130454] 64 bytes from 172.16.0.1: icmp_seq=60 ttl=64 time=20.6 ms
[2021-08-02 20:29:44.329220] 64 bytes from 172.16.0.1: icmp_seq=61 ttl=64 time=18.5 ms
[2021-08-02 20:29:44.526337] 64 bytes from 172.16.0.1: icmp_seq=62 ttl=64 time=14.8 ms
[2021-08-02 20:29:44.740056] 64 bytes from 172.16.0.1: icmp_seq=63 ttl=64 time=27.3 ms
[2021-08-02 20:29:44.936713] 64 bytes from 172.16.0.1: icmp_seq=64 ttl=64 time=23.4 ms
[2021-08-02 20:29:45.134876] 64 bytes from 172.16.0.1: icmp_seq=65 ttl=64 time=20.2 ms
[2021-08-02 20:29:45.339649] 64 bytes from 172.16.0.1: icmp_seq=66 ttl=64 time=24.6 ms
[2021-08-02 20:29:45.533013] 64 bytes from 172.16.0.1: icmp_seq=67 ttl=64 time=17.1 ms
[2021-08-02 20:29:45.734150] 64 bytes from 172.16.0.1: icmp_seq=68 ttl=64 time=17.8 ms
[2021-08-02 20:29:45.933309] 64 bytes from 172.16.0.1: icmp_seq=69 ttl=64 time=15.9 ms
[2021-08-02 20:29:46.150250] 64 bytes from 172.16.0.1: icmp_seq=70 ttl=64 time=31.7 ms
[2021-08-02 20:29:46.344655] 64 bytes from 172.16.0.1: icmp_seq=71 ttl=64 time=25.0 ms
[2021-08-02 20:29:46.546596] 64 bytes from 172.16.0.1: icmp_seq=72 ttl=64 time=26.7 ms
[2021-08-02 20:29:46.735053] 64 bytes from 172.16.0.1: icmp_seq=73 ttl=64 time=14.2 ms
[2021-08-02 20:29:46.939272] 64 bytes from 172.16.0.1: icmp_seq=74 ttl=64 time=18.0 ms
[2021-08-02 20:29:47.141647] 64 bytes from 172.16.0.1: icmp_seq=75 ttl=64 time=19.9 ms
[2021-08-02 20:29:47.334683] 64 bytes from 172.16.0.1: icmp_seq=76 ttl=64 time=12.9 ms
[2021-08-02 20:29:47.547870] 64 bytes from 172.16.0.1: icmp_seq=77 ttl=64 time=25.9 ms
[2021-08-02 20:29:47.745893] 64 bytes from 172.16.0.1: icmp_seq=78 ttl=64 time=22.7 ms
[2021-08-02 20:29:47.939132] 64 bytes from 172.16.0.1: icmp_seq=79 ttl=64 time=14.9 ms
[2021-08-02 20:29:48.151677] 64 bytes from 172.16.0.1: icmp_seq=80 ttl=64 time=26.2 ms
[2021-08-02 20:29:48.344059] 64 bytes from 172.16.0.1: icmp_seq=81 ttl=64 time=18.1 ms
[2021-08-02 20:29:48.540471] 64 bytes from 172.16.0.1: icmp_seq=82 ttl=64 time=14.1 ms
[2021-08-02 20:29:48.744622] 64 bytes from 172.16.0.1: icmp_seq=83 ttl=64 time=18.0 ms
[2021-08-02 20:29:48.941885] 64 bytes from 172.16.0.1: icmp_seq=84 ttl=64 time=15.0 ms
[2021-08-02 20:29:49.156735] 64 bytes from 172.16.0.1: icmp_seq=85 ttl=64 time=29.6 ms
[2021-08-02 20:29:49.350138] 64 bytes from 172.16.0.1: icmp_seq=86 ttl=64 time=22.1 ms
[2021-08-02 20:29:49.548849] 64 bytes from 172.16.0.1: icmp_seq=87 ttl=64 time=20.4 ms
[2021-08-02 20:29:49.742788] 64 bytes from 172.16.0.1: icmp_seq=88 ttl=64 time=13.6 ms
[2021-08-02 20:29:49.946439] 64 bytes from 172.16.0.1: icmp_seq=89 ttl=64 time=16.3 ms
[2021-08-02 20:29:50.148961] 64 bytes from 172.16.0.1: icmp_seq=90 ttl=64 time=18.2 ms
[2021-08-02 20:29:50.358296] 64 bytes from 172.16.0.1: icmp_seq=91 ttl=64 time=27.0 ms
[2021-08-02 20:29:50.556652] 64 bytes from 172.16.0.1: icmp_seq=92 ttl=64 time=25.1 ms
[2021-08-02 20:29:50.758673] 64 bytes from 172.16.0.1: icmp_seq=93 ttl=64 time=26.7 ms
[2021-08-02 20:29:50.959029] 64 bytes from 172.16.0.1: icmp_seq=94 ttl=64 time=26.0 ms
[2021-08-02 20:29:51.157467] 64 bytes from 172.16.0.1: icmp_seq=95 ttl=64 time=24.2 ms
[2021-08-02 20:29:51.350548] 64 bytes from 172.16.0.1: icmp_seq=96 ttl=64 time=16.7 ms
[2021-08-02 20:29:51.552237] 64 bytes from 172.16.0.1: icmp_seq=97 ttl=64 time=17.3 ms
[2021-08-02 20:29:51.754418] 64 bytes from 172.16.0.1: icmp_seq=98 ttl=64 time=18.9 ms
[2021-08-02 20:29:51.958462] 64 bytes from 172.16.0.1: icmp_seq=99 ttl=64 time=21.7 ms
[2021-08-02 20:29:52.156921] 64 bytes from 172.16.0.1: icmp_seq=100 ttl=64 time=19.2 ms
[2021-08-02 20:29:52.354274] 64 bytes from 172.16.0.1: icmp_seq=101 ttl=64 time=16.1 ms
[2021-08-02 20:29:52.553959] 64 bytes from 172.16.0.1: icmp_seq=102 ttl=64 time=15.6 ms
[2021-08-02 20:29:52.764440] 64 bytes from 172.16.0.1: icmp_seq=103 ttl=64 time=25.3 ms
[2021-08-02 20:29:52.967684] 64 bytes from 172.16.0.1: icmp_seq=104 ttl=64 time=27.9 ms
[2021-08-02 20:29:53.164637] 64 bytes from 172.16.0.1: icmp_seq=105 ttl=64 time=24.7 ms
[2021-08-02 20:29:53.359591] 64 bytes from 172.16.0.1: icmp_seq=106 ttl=64 time=18.5 ms
[2021-08-02 20:29:53.564630] 64 bytes from 172.16.0.1: icmp_seq=107 ttl=64 time=22.7 ms
[2021-08-02 20:29:53.763979] 64 bytes from 172.16.0.1: icmp_seq=108 ttl=64 time=21.0 ms
[2021-08-02 20:29:53.970449] 64 bytes from 172.16.0.1: icmp_seq=109 ttl=64 time=27.2 ms
[2021-08-02 20:29:54.168799] 64 bytes from 172.16.0.1: icmp_seq=110 ttl=64 time=25.1 ms
[2021-08-02 20:29:54.366510] 64 bytes from 172.16.0.1: icmp_seq=111 ttl=64 time=22.4 ms
[2021-08-02 20:29:54.564075] 64 bytes from 172.16.0.1: icmp_seq=112 ttl=64 time=19.3 ms
[2021-08-02 20:29:54.769443] 64 bytes from 172.16.0.1: icmp_seq=113 ttl=64 time=24.1 ms
[2021-08-02 20:29:54.970476] 64 bytes from 172.16.0.1: icmp_seq=114 ttl=64 time=24.7 ms
[2021-08-02 20:29:55.169128] 64 bytes from 172.16.0.1: icmp_seq=115 ttl=64 time=22.5 ms
[2021-08-02 20:29:55.368847] 64 bytes from 172.16.0.1: icmp_seq=116 ttl=64 time=21.4 ms
[2021-08-02 20:29:55.569481] 64 bytes from 172.16.0.1: icmp_seq=117 ttl=64 time=21.3 ms
[2021-08-02 20:29:55.775832] 64 bytes from 172.16.0.1: icmp_seq=118 ttl=64 time=27.0 ms
[2021-08-02 20:29:55.964012] 64 bytes from 172.16.0.1: icmp_seq=119 ttl=64 time=14.9 ms
[2021-08-02 20:29:56.162173] 64 bytes from 172.16.0.1: icmp_seq=120 ttl=64 time=11.8 ms
[2021-08-02 20:29:56.370292] 64 bytes from 172.16.0.1: icmp_seq=121 ttl=64 time=18.9 ms
[2021-08-02 20:29:56.572597] 64 bytes from 172.16.0.1: icmp_seq=122 ttl=64 time=20.9 ms
[2021-08-02 20:29:56.773363] 64 bytes from 172.16.0.1: icmp_seq=123 ttl=64 time=21.3 ms
[2021-08-02 20:29:56.977544] 64 bytes from 172.16.0.1: icmp_seq=124 ttl=64 time=24.8 ms
[2021-08-02 20:29:57.173745] 64 bytes from 172.16.0.1: icmp_seq=125 ttl=64 time=19.6 ms
[2021-08-02 20:29:57.375702] 64 bytes from 172.16.0.1: icmp_seq=126 ttl=64 time=20.8 ms
[2021-08-02 20:29:57.574959] 64 bytes from 172.16.0.1: icmp_seq=127 ttl=64 time=18.9 ms
[2021-08-02 20:29:57.780584] 64 bytes from 172.16.0.1: icmp_seq=128 ttl=64 time=24.3 ms
[2021-08-02 20:29:57.986675] 64 bytes from 172.16.0.1: icmp_seq=129 ttl=64 time=29.8 ms
[2021-08-02 20:29:58.172212] 64 bytes from 172.16.0.1: icmp_seq=130 ttl=64 time=14.3 ms
[2021-08-02 20:29:58.377359] 64 bytes from 172.16.0.1: icmp_seq=131 ttl=64 time=18.8 ms
[2021-08-02 20:29:58.578448] 64 bytes from 172.16.0.1: icmp_seq=132 ttl=64 time=18.8 ms
[2021-08-02 20:29:58.779283] 64 bytes from 172.16.0.1: icmp_seq=133 ttl=64 time=18.5 ms
[2021-08-02 20:29:58.978766] 64 bytes from 172.16.0.1: icmp_seq=134 ttl=64 time=17.2 ms
[2021-08-02 20:29:59.180716] 64 bytes from 172.16.0.1: icmp_seq=135 ttl=64 time=18.8 ms
[2021-08-02 20:29:59.392260] 64 bytes from 172.16.0.1: icmp_seq=136 ttl=64 time=29.1 ms
[2021-08-02 20:29:59.583147] 64 bytes from 172.16.0.1: icmp_seq=137 ttl=64 time=19.5 ms
[2021-08-02 20:29:59.790614] 64 bytes from 172.16.0.1: icmp_seq=138 ttl=64 time=26.2 ms
[2021-08-02 20:29:59.980289] 64 bytes from 172.16.0.1: icmp_seq=139 ttl=64 time=15.4 ms
[2021-08-02 20:30:00.182919] 64 bytes from 172.16.0.1: icmp_seq=140 ttl=64 time=17.2 ms
[2021-08-02 20:30:00.379337] 64 bytes from 172.16.0.1: icmp_seq=141 ttl=64 time=13.2 ms
[2021-08-02 20:30:00.590986] 64 bytes from 172.16.0.1: icmp_seq=142 ttl=64 time=24.3 ms
[2021-08-02 20:30:00.792955] 64 bytes from 172.16.0.1: icmp_seq=143 ttl=64 time=25.6 ms
[2021-08-02 20:30:00.994496] 64 bytes from 172.16.0.1: icmp_seq=144 ttl=64 time=26.2 ms
[2021-08-02 20:30:01.197101] 64 bytes from 172.16.0.1: icmp_seq=145 ttl=64 time=28.4 ms
[2021-08-02 20:30:01.392684] 64 bytes from 172.16.0.1: icmp_seq=146 ttl=64 time=23.2 ms
[2021-08-02 20:30:01.587821] 64 bytes from 172.16.0.1: icmp_seq=147 ttl=64 time=17.9 ms
[2021-08-02 20:30:01.798163] 64 bytes from 172.16.0.1: icmp_seq=148 ttl=64 time=27.1 ms
[2021-08-02 20:30:01.985863] 64 bytes from 172.16.0.1: icmp_seq=149 ttl=64 time=14.3 ms
[2021-08-02 20:30:02.184229] 64 bytes from 172.16.0.1: icmp_seq=150 ttl=64 time=12.2 ms
[2021-08-02 20:30:02.396102] 64 bytes from 172.16.0.1: icmp_seq=151 ttl=64 time=23.6 ms
[2021-08-02 20:30:02.600459] 64 bytes from 172.16.0.1: icmp_seq=152 ttl=64 time=27.1 ms
[2021-08-02 20:30:02.789244] 64 bytes from 172.16.0.1: icmp_seq=153 ttl=64 time=15.6 ms
[2021-08-02 20:30:02.995572] 64 bytes from 172.16.0.1: icmp_seq=154 ttl=64 time=20.8 ms
[2021-08-02 20:30:03.195723] 64 bytes from 172.16.0.1: icmp_seq=155 ttl=64 time=20.9 ms
[2021-08-02 20:30:03.393000] 64 bytes from 172.16.0.1: icmp_seq=156 ttl=64 time=16.9 ms
[2021-08-02 20:30:03.595811] 64 bytes from 172.16.0.1: icmp_seq=157 ttl=64 time=19.7 ms
[2021-08-02 20:30:03.796751] 64 bytes from 172.16.0.1: icmp_seq=158 ttl=64 time=19.6 ms
[2021-08-02 20:30:04.005184] 64 bytes from 172.16.0.1: icmp_seq=159 ttl=64 time=27.1 ms
[2021-08-02 20:30:04.204115] 64 bytes from 172.16.0.1: icmp_seq=160 ttl=64 time=26.6 ms
[2021-08-02 20:30:04.409831] 64 bytes from 172.16.0.1: icmp_seq=161 ttl=64 time=31.4 ms
[2021-08-02 20:30:04.602038] 64 bytes from 172.16.0.1: icmp_seq=162 ttl=64 time=22.8 ms
[2021-08-02 20:30:04.803420] 64 bytes from 172.16.0.1: icmp_seq=163 ttl=64 time=23.1 ms
[2021-08-02 20:30:05.001568] 64 bytes from 172.16.0.1: icmp_seq=164 ttl=64 time=20.9 ms
[2021-08-02 20:30:05.198230] 64 bytes from 172.16.0.1: icmp_seq=165 ttl=64 time=18.3 ms
[2021-08-02 20:30:05.412564] 64 bytes from 172.16.0.1: icmp_seq=166 ttl=64 time=32.1 ms
[2021-08-02 20:30:05.604653] 64 bytes from 172.16.0.1: icmp_seq=167 ttl=64 time=23.8 ms
[2021-08-02 20:30:05.806540] 64 bytes from 172.16.0.1: icmp_seq=168 ttl=64 time=24.6 ms
[2021-08-02 20:30:06.002173] 64 bytes from 172.16.0.1: icmp_seq=169 ttl=64 time=19.3 ms
[2021-08-02 20:30:06.205014] 64 bytes from 172.16.0.1: icmp_seq=170 ttl=64 time=22.6 ms
[2021-08-02 20:30:06.402391] 64 bytes from 172.16.0.1: icmp_seq=171 ttl=64 time=19.1 ms
[2021-08-02 20:30:06.607575] 64 bytes from 172.16.0.1: icmp_seq=172 ttl=64 time=23.9 ms
[2021-08-02 20:30:06.805898] 64 bytes from 172.16.0.1: icmp_seq=173 ttl=64 time=21.9 ms
[2021-08-02 20:30:07.000400] 64 bytes from 172.16.0.1: icmp_seq=174 ttl=64 time=16.1 ms
[2021-08-02 20:30:07.198798] 64 bytes from 172.16.0.1: icmp_seq=175 ttl=64 time=15.1 ms
[2021-08-02 20:30:07.399570] 64 bytes from 172.16.0.1: icmp_seq=176 ttl=64 time=15.5 ms
[2021-08-02 20:30:07.602618] 64 bytes from 172.16.0.1: icmp_seq=177 ttl=64 time=17.7 ms
